job,operation,machine,processing_time,energy_consumption
0,0,0,4,3
0,0,1,11,6
0,0,2,8,3
0,0,3,16,4
0,0,4,2,5
0,0,5,16,5
0,1,0,19,6
0,1,1,24,2
0,1,2,11,5
0,1,3,11,2
0,1,4,19,4
0,1,5,21,2
0,2,0,28,5
0,2,1,21,8
0,2,2,22,8
0,2,3,20,7
0,2,4,23,6
0,2,5,19,8
0,3,0,18,7
0,3,1,7,5
0,3,2,10,7
0,3,3,7,5
0,3,4,21,6
0,3,5,17,7
1,4,0,16,5
1,4,1,15,4
1,4,2,24,4
1,4,3,24,8
1,4,4,25,7
1,4,5,28,7
1,5,0,9,3
1,5,1,8,3
1,5,2,1,4
1,5,3,10,3
1,5,4,14,3
1,5,5,14,5
1,6,0,13,5
1,6,1,7,5
1,6,2,8,6
1,6,3,19,3
1,6,4,11,2
1,6,5,10,4
1,7,0,20,6
1,7,1,27,7
1,7,2,15,9
1,7,3,25,6
1,7,4,25,8
1,7,5,28,4
2,8,0,3,7
2,8,1,11,5
2,8,2,11,6
2,8,3,17,9
2,8,4,4,6
2,8,5,14,8
2,9,0,17,5
2,9,1,22,2
2,9,2,20,1
2,9,3,27,3
2,9,4,26,1
2,9,5,20,4
2,10,0,11,8
2,10,1,7,7
2,10,2,18,9
2,10,3,20,7
2,10,4,13,10
2,10,5,17,8
2,11,0,18,10
2,11,1,17,6
2,11,2,18,6
2,11,3,24,9
2,11,4,19,5
2,11,5,26,10
3,12,0,10,10
3,12,1,18,9
3,12,2,16,10
3,12,3,12,7
3,12,4,9,7
3,12,5,16,8
3,13,0,18,6
3,13,1,8,8
3,13,2,17,9
3,13,3,17,7
3,13,4,20,5
3,13,5,15,4
3,14,0,13,4
3,14,1,12,4
3,14,2,5,9
3,14,3,5,9
3,14,4,4,8
3,14,5,10,6
3,15,0,22,3
3,15,1,17,6
3,15,2,22,7
3,15,3,14,5
3,15,4,14,3
3,15,5,24,3
4,16,0,28,5
4,16,1,24,4
4,16,2,18,8
4,16,3,22,8
4,16,4,15,9
4,16,5,22,7
4,17,0,17,6
4,17,1,20,2
4,17,2,16,5
4,17,3,19,4
4,17,4,10,4
4,17,5,13,3
4,18,0,18,6
4,18,1,25,6
4,18,2,31,7
4,18,3,27,8
4,18,4,24,8
4,18,5,29,6
4,19,0,14,10
4,19,1,22,7
4,19,2,15,9
4,19,3,13,9
4,19,4,8,9
4,19,5,9,6
5,20,0,19,7
5,20,1,9,10
5,20,2,10,9
5,20,3,10,10
5,20,4,17,10
5,20,5,12,7
5,21,0,28,7
5,21,1,22,5
5,21,2,26,5
5,21,3,32,9
5,21,4,18,6
5,21,5,31,6
5,22,0,21,4
5,22,1,25,1
5,22,2,27,2
5,22,3,29,1
5,22,4,19,6
5,22,5,17,5
5,23,0,17,2
5,23,1,27,6
5,23,2,19,4
5,23,3,27,5
5,23,4,22,5
5,23,5,27,6
6,24,0,13,2
6,24,1,11,2
6,24,2,10,4
6,24,3,5,2
6,24,4,13,6
6,24,5,11,3
6,25,0,9,6
6,25,1,7,6
6,25,2,9,6
6,25,3,3,2
6,25,4,10,1
6,25,5,13,6
6,26,0,16,2
6,26,1,23,7
6,26,2,17,4
6,26,3,26,7
6,26,4,20,4
6,26,5,22,5
6,27,0,9,4
6,27,1,20,4
6,27,2,18,4
6,27,3,19,6
6,27,4,9,3
6,27,5,17,3
7,28,0,18,5
7,28,1,16,5
7,28,2,18,5
7,28,3,20,8
7,28,4,10,8
7,28,5,16,8
7,29,0,19,3
7,29,1,21,2
7,29,2,28,6
7,29,3,27,7
7,29,4,16,4
7,29,5,26,3
7,30,0,17,3
7,30,1,26,4
7,30,2,27,4
7,30,3,24,4
7,30,4,27,6
7,30,5,18,6
7,31,0,14,5
7,31,1,14,8
7,31,2,12,6
7,31,3,21,6
7,31,4,12,7
7,31,5,11,10
8,32,0,15,6
8,32,1,14,2
8,32,2,9,7
8,32,3,8,3
8,32,4,8,5
8,32,5,19,5
8,33,0,16,5
8,33,1,22,3
8,33,2,17,6
8,33,3,20,3
8,33,4,24,7
8,33,5,16,3
8,34,0,12,3
8,34,1,19,4
8,34,2,11,2
8,34,3,23,4
8,34,4,18,7
8,34,5,24,3
8,35,0,12,7
8,35,1,14,5
8,35,2,1,8
8,35,3,1,7
8,35,4,9,6
8,35,5,4,9
9,36,0,22,4
9,36,1,18,4
9,36,2,22,4
9,36,3,15,4
9,36,4,16,4
9,36,5,18,5
9,37,0,14,6
9,37,1,5,2
9,37,2,3,4
9,37,3,4,6
9,37,4,13,6
9,37,5,14,4
9,38,0,2,4
9,38,1,7,1
9,38,2,2,2
9,38,3,15,5
9,38,4,2,3
9,38,5,9,1
9,39,0,12,8
9,39,1,6,7
9,39,2,15,7
9,39,3,14,4
9,39,4,8,4
9,39,5,13,5
10,40,0,23,5
10,40,1,21,7
10,40,2,19,7
10,40,3,24,7
10,40,4,12,8
10,40,5,21,4
10,41,0,15,5
10,41,1,4,8
10,41,2,6,6
10,41,3,5,5
10,41,4,15,4
10,41,5,8,6
10,42,0,20,7
10,42,1,27,7
10,42,2,22,2
10,42,3,29,5
10,42,4,24,2
