job,operation,machine,processing_time,energy_consumption
0,0,0,17,6
0,0,1,10,7
0,0,2,11,6
0,0,3,15,10
0,1,0,13,6
0,1,1,5,4
0,1,2,9,3
0,1,3,15,3
0,2,0,13,2
0,2,1,23,6
0,2,2,16,7
0,2,3,12,2
0,3,0,14,3
0,3,1,17,6
0,3,2,18,3
0,3,3,10,6
0,4,0,1,5
0,4,1,6,3
0,4,2,6,4
0,4,3,10,5
0,5,0,2,7
0,5,1,8,5
0,5,2,9,6
0,5,3,8,8
1,6,0,23,4
1,6,1,11,2
1,6,2,17,2
1,6,3,13,2
1,7,0,18,6
1,7,1,13,3
1,7,2,21,1
1,7,3,18,6
1,8,0,12,7
1,8,1,4,6
1,8,2,3,4
1,8,3,10,7
1,9,0,11,8
1,9,1,2,4
1,9,2,3,4
1,9,3,9,5
1,10,0,21,4
1,10,1,24,7
1,10,2,22,7
1,10,3,25,4
1,11,0,8,4
1,11,1,14,3
1,11,2,9,3
1,11,3,2,2
2,12,0,19,8
2,12,1,27,9
2,12,2,20,4
2,12,3,18,7
2,13,0,24,7
2,13,1,26,3
2,13,2,24,5
2,13,3,29,4
2,14,0,10,6
2,14,1,1,2
2,14,2,10,5
2,14,3,13,6
2,15,0,28,2
2,15,1,26,4
2,15,2,28,4
2,15,3,17,4
2,16,0,8,5
2,16,1,1,6
2,16,2,14,4
2,16,3,14,5
2,17,0,19,6
2,17,1,30,7
2,17,2,19,7
2,17,3,17,8
3,18,0,14,3
3,18,1,13,5
3,18,2,21,6
3,18,3,15,1
3,19,0,14,3
3,19,1,26,2
3,19,2,14,6
3,19,3,25,4
3,20,0,21,10
3,20,1,16,8
3,20,2,13,7
3,20,3,15,5
3,21,0,5,9
3,21,1,11,8
3,21,2,14,5
3,21,3,10,10
3,22,0,19,5
3,22,1,17,3
3,22,2,22,4
3,22,3,20,2
3,23,0,10,6
3,23,1,10,8
3,23,2,13,5
3,23,3,2,4
4,24,0,13,9
4,24,1,16,6
4,24,2,13,10
4,24,3,16,5
4,25,0,7,7
4,25,1,10,3
4,25,2,16,7
4,25,3,9,7
4,26,0,6,5
4,26,1,6,6
4,26,2,14,8
4,26,3,5,6
4,27,0,31,6
4,27,1,17,7
4,27,2,27,8
4,27,3,27,5
4,28,0,17,4
4,28,1,17,6
4,28,2,25,2
4,28,3,16,4
4,29,0,11,5
4,29,1,10,6
4,29,2,7,3
4,29,3,6,3
5,30,0,12,3
5,30,1,6,5
5,30,2,9,3
5,30,3,5,7
5,31,0,3,8
5,31,1,6,7
5,31,2,4,4
5,31,3,11,4
5,32,0,14,3
5,32,1,11,4
5,32,2,12,3
5,32,3,14,5
5,33,0,15,4
5,33,1,18,1
5,33,2,12,6
5,33,3,13,3
5,34,0,6,7
5,34,1,4,7
5,34,2,8,5
5,34,3,4,7
5,35,0,2,5
5,35,1,4,8
5,35,2,7,7
5,35,3,16,8
6,36,0,15,10
6,36,1,11,10
6,36,2,19,9
6,36,3,19,8
6,37,0,26,2
6,37,1,18,3
6,37,2,17,4
6,37,3,23,6
6,38,0,25,6
6,38,1,14,5
6,38,2,18,4
6,38,3,17,7
6,39,0,18,6
6,39,1,19,5
6,39,2,31,4
6,39,3,27,5
6,40,0,19,6
6,40,1,14,4
6,40,2,25,3
6,40,3,24,2
6,41,0,13,8
6,41,1,17,5
6,41,2,15,6
6,41,3,17,8
7,42,0,2,6
7,42,1,3,5
7,42,2,2,10
7,42,3,7,8
7,43,0,21,6
7,43,1,11,9
7,43,2,22,9
7,43,3,17,7
7,44,0,17,9
7,44,1,12,5
7,44,2,14,9
7,44,3,13,8
7,45,0,9,7
7,45,1,7,6
7,45,2,7,10
7,45,3,6,9
7,46,0,28,6
7,46,1,29,8
7,46,2,24,9
7,46,3,29,4
7,47,0,23,4
7,47,1,24,5
7,47,2,19,4
7,47,3,29,2
8,48,0,11,5
8,48,1,16,5
8,48,2,4,7
8,48,3,7,9
8,49,0,13,7
8,49,1,7,6
8,49,2,13,5
8,49,3,15,3
8,50,0,21,6
8,50,1,27,8
8,50,2,31,5
8,50,3,20,7
8,51,0,21,5
8,51,1,14,5
8,51,2,12,2
8,51,3,22,7
8,52,0,23,3
8,52,1,19,4
8,52,2,16,8
8,52,3,23,7
8,53,0,24,6
8,53,1,24,6
8,53,2,25,5
8,53,3,27,3
9,54,0,22,10
9,54,1,26,7
9,54,2,22,6
9,54,3,28,7
9,55,0,18,5
9,55,1,16,5
9,55,2,15,4
9,55,3,24,8
9,56,0,15,3
9,56,1,21,1
9,56,2,19,6
9,56,3,25,5
9,57,0,15,7
9,57,1,6,5
9,57,2,12,5
9,57,3,10,4
9,58,0,29,4
9,58,1,28,4
9,58,2,31,8
9,58,3,24,4
9,59,0,14,4
9,59,1,21,6
9,59,2,16,4
9,59,3,15,5
