job,operation,machine,processing_time,energy_consumption
0,0,0,5,6
0,0,1,8,5
0,0,2,11,4
0,0,3,6,5
0,0,4,10,8
0,0,5,6,3
0,1,0,24,7
0,1,1,19,4
0,1,2,26,3
0,1,3,31,5
0,1,4,20,6
0,1,5,23,3
0,2,0,25,8
0,2,1,23,9
0,2,2,20,5
0,2,3,21,9
0,2,4,27,5
0,2,5,25,9
0,3,0,21,7
0,3,1,17,3
0,3,2,21,5
0,3,3,12,4
0,3,4,20,5
0,3,5,25,2
0,4,0,28,6
0,4,1,19,7
0,4,2,24,8
0,4,3,25,7
0,4,4,24,8
0,4,5,19,6
0,5,0,4,6
0,5,1,8,8
0,5,2,3,8
0,5,3,5,4
0,5,4,6,7
0,5,5,6,5
1,6,0,8,4
1,6,1,7,5
1,6,2,10,3
1,6,3,10,2
1,6,4,7,2
1,6,5,5,3
1,7,0,12,4
1,7,1,18,9
1,7,2,17,8
1,7,3,15,7
1,7,4,14,6
1,7,5,20,9
1,8,0,2,4
1,8,1,6,6
1,8,2,10,4
1,8,3,14,4
1,8,4,9,5
1,8,5,12,7
1,9,0,3,6
1,9,1,10,8
1,9,2,7,7
1,9,3,2,5
1,9,4,10,10
1,9,5,16,6
1,10,0,10,4
1,10,1,10,9
1,10,2,4,9
1,10,3,16,9
1,10,4,7,6
1,10,5,17,5
1,11,0,14,8
1,11,1,13,8
1,11,2,14,5
1,11,3,21,3
1,11,4,18,6
1,11,5,12,7
2,12,0,3,6
2,12,1,5,5
2,12,2,5,2
2,12,3,12,1
2,12,4,14,6
2,12,5,9,1
2,13,0,14,3
2,13,1,10,7
2,13,2,19,4
2,13,3,8,2
2,13,4,18,6
2,13,5,16,7
2,14,0,27,5
2,14,1,20,7
2,14,2,15,4
2,14,3,25,7
2,14,4,28,2
2,14,5,18,3
2,15,0,16,5
2,15,1,5,7
2,15,2,19,8
2,15,3,12,9
2,15,4,10,8
2,15,5,8,6
2,16,0,19,6
2,16,1,13,5
2,16,2,15,4
2,16,3,10,5
2,16,4,10,3
2,16,5,15,7
2,17,0,25,7
2,17,1,16,4
2,17,2,13,9
2,17,3,25,9
2,17,4,18,4
2,17,5,18,8
3,18,0,17,5
3,18,1,15,8
3,18,2,13,5
3,18,3,22,4
3,18,4,23,4
3,18,5,17,4
3,19,0,6,5
3,19,1,12,7
3,19,2,9,6
3,19,3,9,5
3,19,4,1,7
3,19,5,1,7
3,20,0,8,6
3,20,1,16,4
3,20,2,17,6
3,20,3,14,1
3,20,4,17,3
3,20,5,14,1
3,21,0,17,9
3,21,1,7,6
3,21,2,15,9
3,21,3,16,5
3,21,4,13,8
3,21,5,3,6
3,22,0,14,6
3,22,1,11,1
3,22,2,8,5
3,22,3,14,5
3,22,4,13,4
3,22,5,6,3
3,23,0,15,7
3,23,1,15,6
3,23,2,12,3
3,23,3,12,6
3,23,4,14,5
3,23,5,10,5
4,24,0,24,4
4,24,1,22,6
4,24,2,30,5
4,24,3,31,4
4,24,4,26,3
4,24,5,17,7
4,25,0,7,4
4,25,1,12,6
4,25,2,5,9
4,25,3,12,7
4,25,4,12,8
4,25,5,12,7
4,26,0,20,2
4,26,1,14,4
4,26,2,19,5
4,26,3,18,3
4,26,4,25,6
4,26,5,13,4
4,27,0,21,7
4,27,1,12,4
4,27,2,17,6
4,27,3,10,5
4,27,4,14,4
4,27,5,13,8
4,28,0,15,5
4,28,1,11,5
4,28,2,18,4
4,28,3,16,3
4,28,4,11,6
4,28,5,22,4
4,29,0,8,5
4,29,1,13,5
4,29,2,7,1
4,29,3,12,6
4,29,4,14,5
4,29,5,9,4
5,30,0,10,8
5,30,1,1,4
5,30,2,10,7
5,30,3,2,7
5,30,4,4,4
5,30,5,10,4
5,31,0,15,4
5,31,1,12,5
5,31,2,17,1
5,31,3,17,1
5,31,4,13,5
5,31,5,22,6
5,32,0,22,6
5,32,1,25,1
5,32,2,26,6
5,32,3,14,1
5,32,4,13,5
5,32,5,26,1
5,33,0,27,4
5,33,1,20,4
5,33,2,18,3
5,33,3,26,7
5,33,4,23,7
5,33,5,20,3
5,34,0,15,5
5,34,1,19,1
5,34,2,16,2
5,34,3,12,5
5,34,4,18,4
5,34,5,18,5
5,35,0,15,6
5,35,1,14,3
5,35,2,23,3
5,35,3,15,2
5,35,4,24,5
5,35,5,17,4
6,36,0,20,4
6,36,1,19,6
6,36,2,6,1
6,36,3,19,3
6,36,4,14,4
6,36,5,13,1
