job,operation,machine,processing_time,energy_consumption
0,0,0,21,6
0,0,1,15,8
0,0,2,24,7
0,0,3,20,6
0,1,0,8,6
0,1,1,9,4
0,1,2,20,8
0,1,3,12,8
0,2,0,14,8
0,2,1,20,9
0,2,2,14,7
0,2,3,18,8
0,3,0,22,10
0,3,1,11,5
0,3,2,9,9
0,3,3,21,6
0,4,0,18,2
0,4,1,23,4
0,4,2,13,6
0,4,3,23,6
0,5,0,11,5
0,5,1,14,7
0,5,2,17,7
0,5,3,19,2
1,6,0,11,4
1,6,1,9,4
1,6,2,11,3
1,6,3,17,4
1,7,0,10,10
1,7,1,12,10
1,7,2,10,5
1,7,3,11,5
1,8,0,17,7
1,8,1,14,5
1,8,2,14,10
1,8,3,19,6
1,9,0,6,6
1,9,1,10,8
1,9,2,1,8
1,9,3,3,5
1,10,0,23,3
1,10,1,22,4
1,10,2,27,7
1,10,3,28,3
1,11,0,15,4
1,11,1,9,7
1,11,2,12,3
1,11,3,12,5
2,12,0,11,8
2,12,1,1,4
2,12,2,5,8
2,12,3,13,5
2,13,0,18,4
2,13,1,10,1
2,13,2,17,1
2,13,3,19,3
2,14,0,21,5
2,14,1,20,4
2,14,2,13,7
2,14,3,19,3
2,15,0,12,6
2,15,1,17,6
2,15,2,9,7
2,15,3,13,9
2,16,0,29,10
2,16,1,17,9
2,16,2,19,10
2,16,3,31,5
2,17,0,21,5
2,17,1,21,7
2,17,2,26,7
2,17,3,20,6
3,18,0,17,5
3,18,1,16,7
3,18,2,17,6
3,18,3,7,6
3,19,0,7,6
3,19,1,7,7
3,19,2,14,7
3,19,3,13,6
3,20,0,24,5
3,20,1,23,5
3,20,2,28,9
3,20,3,21,8
3,21,0,11,7
3,21,1,9,6
3,21,2,12,6
3,21,3,16,4
3,22,0,12,6
3,22,1,13,8
3,22,2,19,6
3,22,3,21,10
3,23,0,25,5
3,23,1,25,8
3,23,2,30,4
3,23,3,19,8
4,24,0,19,6
4,24,1,11,6
4,24,2,16,9
4,24,3,15,10
4,25,0,11,6
4,25,1,8,7
4,25,2,13,7
4,25,3,11,5
4,26,0,7,4
4,26,1,12,6
4,26,2,1,8
4,26,3,12,6
4,27,0,5,5
4,27,1,11,8
4,27,2,2,8
4,27,3,12,8
4,28,0,2,5
4,28,1,2,6
4,28,2,13,7
4,28,3,8,4
4,29,0,16,4
4,29,1,10,6
4,29,2,18,5
4,29,3,17,3
5,30,0,13,5
5,30,1,7,4
5,30,2,11,6
5,30,3,14,6
5,31,0,25,6
5,31,1,29,6
5,31,2,25,6
5,31,3,26,5
5,32,0,3,7
5,32,1,9,3
5,32,2,13,6
5,32,3,8,7
5,33,0,23,4
5,33,1,19,5
5,33,2,26,4
5,33,3,27,4
5,34,0,29,3
5,34,1,26,6
5,34,2,29,2
5,34,3,28,6
5,35,0,16,6
5,35,1,13,7
5,35,2,17,7
5,35,3,19,5
6,36,0,17,8
6,36,1,21,8
6,36,2,20,9
6,36,3,22,8
6,37,0,9,4
6,37,1,7,2
6,37,2,8,3
6,37,3,8,2
6,38,0,6,4
6,38,1,12,8
6,38,2,12,8
6,38,3,6,4
6,39,0,18,2
6,39,1,18,2
6,39,2,28,4
6,39,3,21,3
6,40,0,7,6
6,40,1,12,6
6,40,2,6,6
6,40,3,1,8
6,41,0,13,8
6,41,1,5,5
6,41,2,14,6
6,41,3,2,8
7,42,0,14,5
7,42,1,10,6
7,42,2,2,9
7,42,3,12,10
7,43,0,8,3
7,43,1,9,2
7,43,2,16,5
7,43,3,18,5
7,44,0,11,2
7,44,1,5,1
7,44,2,13,1
7,44,3,5,3
7,45,0,27,6
7,45,1,28,9
7,45,2,24,7
7,45,3,23,9
7,46,0,15,2
7,46,1,15,4
7,46,2,6,4
7,46,3,2,2
7,47,0,20,5
7,47,1,23,4
7,47,2,12,9
7,47,3,13,6
8,48,0,18,4
8,48,1,16,4
8,48,2,18,5
8,48,3,7,3
8,49,0,24,4
8,49,1,24,4
8,49,2,22,7
8,49,3,22,4
8,50,0,10,6
8,50,1,2,3
8,50,2,15,5
8,50,3,11,5
8,51,0,17,10
8,51,1,11,9
8,51,2,18,9
8,51,3,10,9
8,52,0,17,4
8,52,1,26,6
8,52,2,24,5
8,52,3,13,8
8,53,0,28,8
8,53,1,27,6
8,53,2,27,5
8,53,3,25,8
9,54,0,9,8
9,54,1,17,8
9,54,2,20,6
9,54,3,13,7
9,55,0,25,4
9,55,1,19,8
9,55,2,21,9
9,55,3,17,5
9,56,0,13,3
9,56,1,11,6
9,56,2,10,1
9,56,3,15,1
9,57,0,12,5
9,57,1,10,6
9,57,2,6,4
9,57,3,1,7
9,58,0,14,4
9,58,1,26,6
9,58,2,13,3
9,58,3,23,5
9,59,0,9,3
9,59,1,10,5
9,59,2,8,1
9,59,3,13,5
