job,operation,machine,processing_time,energy_consumption
0,0,0,31,7
0,0,1,18,7
0,0,2,25,9
0,1,0,11,7
0,1,1,18,6
0,1,2,23,7
0,2,0,18,5
0,2,1,19,6
0,2,2,24,8
0,3,0,20,7
0,3,1,31,8
0,3,2,19,5
1,4,0,15,8
1,4,1,12,7
1,4,2,12,5
1,5,0,4,5
1,5,1,5,1
1,5,2,1,6
1,6,0,12,5
1,6,1,12,4
1,6,2,9,2
1,7,0,10,7
1,7,1,13,5
1,7,2,18,6
2,8,0,19,2
2,8,1,7,2
2,8,2,18,6
2,9,0,11,9
2,9,1,16,4
2,9,2,10,7
2,10,0,8,4
2,10,1,1,8
2,10,2,4,9
2,11,0,22,6
2,11,1,20,8
2,11,2,14,4
3,12,0,12,4
3,12,1,13,9
3,12,2,13,9
3,13,0,12,7
3,13,1,21,5
3,13,2,17,5
3,14,0,14,6
3,14,1,13,5
3,14,2,21,5
3,15,0,4,7
3,15,1,6,10
3,15,2,8,5
4,16,0,10,6
4,16,1,7,4
4,16,2,3,3
4,17,0,13,7
4,17,1,18,8
4,17,2,12,5
4,18,0,5,3
4,18,1,7,3
4,18,2,14,6
4,19,0,13,2
4,19,1,12,4
4,19,2,18,2
5,20,0,3,5
5,20,1,1,7
5,20,2,4,5
5,21,0,29,8
5,21,1,20,8
5,21,2,25,5
5,22,0,10,6
5,22,1,18,5
5,22,2,14,4
5,23,0,8,7
5,23,1,11,5
5,23,2,9,10
6,24,0,25,10
6,24,1,12,8
6,24,2,26,5
6,25,0,9,9
6,25,1,17,9
6,25,2,15,8
6,26,0,15,6
6,26,1,10,5
6,26,2,12,9
6,27,0,4,8
6,27,1,6,9
6,27,2,9,6
7,28,0,6,4
7,28,1,14,5
7,28,2,7,6
7,29,0,23,9
7,29,1,20,10
7,29,2,23,7
7,30,0,8,5
7,30,1,13,6
7,30,2,6,6
7,31,0,18,3
7,31,1,11,6
7,31,2,5,3
8,32,0,9,6
8,32,1,16,2
8,32,2,13,2
8,33,0,11,3
8,33,1,7,5
8,33,2,11,3
8,34,0,26,6
8,34,1,26,3
8,34,2,25,4
8,35,0,18,6
8,35,1,7,4
8,35,2,17,7
9,36,0,24,6
9,36,1,27,6
9,36,2,30,2
9,37,0,13,3
9,37,1,11,7
9,37,2,14,4
9,38,0,24,1
9,38,1,13,4
9,38,2,19,6
9,39,0,14,7
9,39,1,7,7
9,39,2,15,8
10,40,0,11,6
10,40,1,19,10
10,40,2,21,7
10,41,0,14,4
10,41,1,19,6
10,41,2,13,4
10,42,0,10,6
10,42,1,4,7
10,42,2,6,9
10,43,0,1,9
10,43,1,15,7
10,43,2,9,6
11,44,0,22,5
11,44,1,24,5
11,44,2,12,6
11,45,0,27,6
11,45,1,14,5
11,45,2,14,10
11,46,0,17,4
11,46,1,12,5
11,46,2,17,4
11,47,0,24,5
11,47,1,24,9
11,47,2,14,7
