job,operation,machine,processing_time,energy_consumption
0,0,0,16,10
0,0,1,25,7
0,0,2,16,8
0,0,3,25,6
0,1,0,14,6
0,1,1,9,8
0,1,2,20,7
0,1,3,19,8
0,2,0,1,5
0,2,1,5,10
0,2,2,9,8
0,2,3,10,8
0,3,0,7,7
0,3,1,15,10
0,3,2,8,8
0,3,3,10,9
1,4,0,21,6
1,4,1,22,4
1,4,2,25,9
1,4,3,21,8
1,5,0,12,8
1,5,1,7,5
1,5,2,2,3
1,5,3,12,8
1,6,0,21,8
1,6,1,18,4
1,6,2,13,7
1,6,3,15,8
1,7,0,27,3
1,7,1,26,6
1,7,2,17,6
1,7,3,23,4
2,8,0,2,6
2,8,1,4,5
2,8,2,4,6
2,8,3,8,8
2,9,0,16,3
2,9,1,7,7
2,9,2,9,4
2,9,3,10,5
2,10,0,18,2
2,10,1,23,3
2,10,2,14,4
2,10,3,19,4
2,11,0,19,7
2,11,1,26,5
2,11,2,24,5
2,11,3,23,5
3,12,0,16,6
3,12,1,13,9
3,12,2,18,10
3,12,3,21,6
3,13,0,12,4
3,13,1,6,4
3,13,2,6,5
3,13,3,13,2
3,14,0,27,5
3,14,1,13,5
3,14,2,15,7
3,14,3,16,9
3,15,0,13,3
3,15,1,17,2
3,15,2,11,6
3,15,3,9,2
4,16,0,15,2
4,16,1,21,4
4,16,2,16,3
4,16,3,22,7
4,17,0,12,2
4,17,1,13,2
4,17,2,19,6
4,17,3,15,4
4,18,0,13,2
4,18,1,22,3
4,18,2,17,6
4,18,3,21,5
4,19,0,23,6
4,19,1,25,7
4,19,2,21,3
4,19,3,15,5
5,20,0,22,5
5,20,1,26,6
5,20,2,23,5
5,20,3,16,4
5,21,0,25,2
5,21,1,18,4
5,21,2,20,6
5,21,3,11,5
5,22,0,3,4
5,22,1,13,6
5,22,2,15,7
5,22,3,17,7
5,23,0,18,4
5,23,1,19,7
5,23,2,13,5
5,23,3,23,8
6,24,0,9,7
6,24,1,7,9
6,24,2,5,8
6,24,3,14,7
6,25,0,26,8
6,25,1,20,8
6,25,2,28,6
6,25,3,20,8
6,26,0,14,5
6,26,1,20,9
6,26,2,25,5
6,26,3,17,8
6,27,0,6,1
6,27,1,10,3
6,27,2,13,1
6,27,3,10,4
7,28,0,17,5
7,28,1,13,10
7,28,2,14,9
7,28,3,8,7
7,29,0,8,3
7,29,1,7,3
7,29,2,10,1
7,29,3,8,1
7,30,0,28,2
7,30,1,17,1
7,30,2,21,2
7,30,3,20,6
7,31,0,4,7
7,31,1,7,6
7,31,2,16,5
7,31,3,11,3
8,32,0,18,5
8,32,1,7,9
8,32,2,16,8
8,32,3,14,9
8,33,0,17,7
8,33,1,12,6
8,33,2,18,4
8,33,3,5,3
8,34,0,11,3
8,34,1,3,8
8,34,2,12,4
8,34,3,7,6
8,35,0,21,6
8,35,1,25,6
8,35,2,30,9
8,35,3,21,5
9,36,0,16,5
9,36,1,15,9
9,36,2,8,4
9,36,3,12,7
9,37,0,20,7
9,37,1,31,3
9,37,2,29,5
9,37,3,21,6
9,38,0,23,7
9,38,1,20,5
9,38,2,20,2
9,38,3,23,3
9,39,0,10,5
9,39,1,6,6
9,39,2,7,8
9,39,3,6,8
