job,operation,machine,processing_time,energy_consumption
0,0,0,17,3
0,0,1,11,4
0,0,2,18,5
0,0,3,16,5
0,0,4,17,8
0,0,5,24,8
0,1,0,7,5
0,1,1,5,4
0,1,2,9,6
0,1,3,6,5
0,1,4,4,2
0,1,5,3,3
0,2,0,10,5
0,2,1,19,6
0,2,2,20,8
0,2,3,9,7
0,2,4,15,7
0,2,5,13,5
0,3,0,28,3
0,3,1,18,6
0,3,2,19,2
0,3,3,23,4
0,3,4,26,6
0,3,5,16,2
1,4,0,14,4
1,4,1,8,7
1,4,2,4,2
1,4,3,4,4
1,4,4,10,7
1,4,5,7,6
1,5,0,14,3
1,5,1,14,3
1,5,2,3,3
1,5,3,9,3
1,5,4,5,7
1,5,5,6,7
1,6,0,6,1
1,6,1,9,6
1,6,2,9,1
1,6,3,9,3
1,6,4,7,6
1,6,5,14,5
1,7,0,9,3
1,7,1,7,3
1,7,2,9,3
1,7,3,10,7
1,7,4,6,3
1,7,5,13,7
2,8,0,7,3
2,8,1,1,6
2,8,2,1,1
2,8,3,8,6
2,8,4,11,5
2,8,5,14,6
2,9,0,25,1
2,9,1,17,1
2,9,2,23,1
2,9,3,21,2
2,9,4,28,2
2,9,5,30,2
2,10,0,6,7
2,10,1,12,7
2,10,2,9,7
2,10,3,12,6
2,10,4,9,6
2,10,5,6,5
2,11,0,5,6
2,11,1,11,3
2,11,2,12,4
2,11,3,8,4
2,11,4,4,6
2,11,5,3,1
3,12,0,27,9
3,12,1,23,6
3,12,2,32,6
3,12,3,25,6
3,12,4,28,10
3,12,5,31,7
3,13,0,7,5
3,13,1,14,9
3,13,2,1,9
3,13,3,7,8
3,13,4,5,7
3,13,5,1,5
3,14,0,19,7
3,14,1,13,5
3,14,2,27,4
3,14,3,25,8
3,14,4,26,9
3,14,5,18,8
3,15,0,21,6
3,15,1,28,6
3,15,2,19,2
3,15,3,20,3
3,15,4,17,2
3,15,5,23,7
4,16,0,2,8
4,16,1,2,7
4,16,2,10,4
4,16,3,9,5
4,16,4,3,3
4,16,5,2,3
4,17,0,7,8
4,17,1,17,9
4,17,2,8,8
4,17,3,18,4
4,17,4,19,5
4,17,5,6,8
4,18,0,12,8
4,18,1,9,7
4,18,2,20,5
4,18,3,19,8
4,18,4,12,8
4,18,5,20,6
4,19,0,8,6
4,19,1,17,4
4,19,2,9,6
4,19,3,14,4
4,19,4,14,7
4,19,5,10,8
5,20,0,12,6
5,20,1,17,7
5,20,2,12,6
5,20,3,11,4
5,20,4,19,4
5,20,5,10,6
5,21,0,14,1
5,21,1,10,4
5,21,2,16,5
5,21,3,23,5
5,21,4,22,3
5,21,5,19,1
5,22,0,15,4
5,22,1,10,6
5,22,2,13,9
5,22,3,5,6
5,22,4,6,6
5,22,5,16,6
5,23,0,1,6
5,23,1,14,8
5,23,2,14,5
5,23,3,14,10
5,23,4,5,9
5,23,5,14,9
6,24,0,23,5
6,24,1,20,8
6,24,2,16,7
6,24,3,14,7
6,24,4,13,5
6,24,5,12,9
6,25,0,10,5
6,25,1,14,4
6,25,2,22,3
6,25,3,11,2
6,25,4,20,5
6,25,5,9,5
6,26,0,12,6
6,26,1,11,7
6,26,2,13,9
6,26,3,5,5
6,26,4,9,5
6,26,5,13,4
6,27,0,14,7
6,27,1,6,6
6,27,2,11,6
6,27,3,5,7
6,27,4,6,3
6,27,5,5,7
7,28,0,26,4
7,28,1,20,8
7,28,2,23,8
7,28,3,26,5
7,28,4,28,9
7,28,5,19,4
7,29,0,14,7
7,29,1,19,6
7,29,2,22,6
7,29,3,14,8
7,29,4,21,8
7,29,5,27,6
7,30,0,14,6
